Category,Target Encode Value
Other material moving workers,10.518012146560794
Other mathematical science occupations,11.473158886782493
Other media and communication equipment workers,10.948759195367723
Other metal workers and plastic workers,10.54379128428699
Other office and administrative support workers,10.673995319100774
Other personal appearance workers,10.405371652491857
Other protective service workers,10.432241658524404
Other psychologists,11.180845903628635
Other rail transportation workers,11.114987621405382
Other social scientists,11.136115041054111
Other teachers and instructors,10.744602605160745
"Other textile, apparel, and furnishings workers",10.664511071948182
Other therapists,10.782434073662676
Other transportation workers,10.80765789779684
Other woodworkers,10.506787008199698
Packaging and filling machine operators and tenders,10.234627349467578
"Packers and packagers, hand",10.153207571183344
Painters and paperhangers,10.428458465464622
Painting workers,10.488034970017555
"Paper goods machine setters, operators, and tenders",10.301671786866317
Paralegals and legal assistants,10.817559521378813
Paramedics,11.01241931158354
Parking attendants,10.217647145434581
Parts salespersons,10.645611643099919
Passenger attendants,10.34056791020992
Payroll and timekeeping clerks,10.71253138960828
Personal care aides,10.30371020901415
"Personal care and service workers, all other",10.369073202091627
Personal financial advisors,11.44689337710438
Pest control workers,10.528810209240994
"Petroleum, mining and geological engineers, including mining safety engineers",11.766789815691585
Pharmacists,11.60609739577184
Pharmacy aides,10.659071917864884
Pharmacy technicians,10.648534717765688
Phlebotomists,10.491649695872377
Photographers,10.561065150852931
Photographic process workers and processing machine operators,11.12227013241476
"Physical scientists, all other",11.25968964584723
Physical therapist assistants and aides,10.68792064323388
Physical therapists,11.211920589426382
Physician assistants,11.41799660023505
Physicians,11.99072513761341
Pipelayers,10.620474597285158
Plasterers and stucco masons,10.350608207202807
"Plumbers, pipefitters, and steamfitters",10.726491270040762
Podiatrists,11.620897209014245
Police officers,11.190145828258702
Postal service clerks,10.874340422717108
Postal service mail carriers,10.9132960963788
"Postal service mail sorters, processors, and processing machine operators",10.824355158062303
Postsecondary teachers,11.087811754301304
"Power plant operators, distributors, and dispatchers",11.397321395494876
Precision instrument and equipment repairers,10.865022308843315
Prepress technicians and workers,10.43401704307869
Preschool and kindergarten teachers,10.322542135285984
"Pressers, textile, garment, and related materials",10.059642479987504
Print binding and finishing workers,10.404101260483193
Printing press operators,10.446708655571383
Private detectives and investigators,11.0643143032448
Probation officers and correctional treatment specialists,10.904020252335965
Procurement clerks,11.0351990665217
Producers and directors,11.286070698135783
"Production, planning, and expediting clerks",10.85368044882497
Project management specialists,11.477516082794216
Proofreaders and copy markers,10.774526425470969
Property appraisers and assessors,11.055083499206525
"Property, real estate, and community association managers",10.936956364339299
Psychiatric technicians,10.573287001983374
Public relations and fundraising managers,11.417696473063977
Public relations specialists,11.17013385847428
Public safety telecommunicators,10.830042665169579
Pumping station operators,10.781552081442516
"Purchasing agents, except wholesale, retail, and farm products",10.996765063159275
Purchasing managers,11.329659800801581
Radiation therapists,11.313738958529845
Radio and telecommunications equipment installers and repairers,10.83098191604595
Radiologic technologists and technicians,11.134943275753121
Rail-track laying and maintenance equipment operators,10.908563232344964
Railroad conductors and yardmasters,11.027075086428157
Real estate brokers and sales agents,10.901204891578802
Receptionists and information clerks,10.314569851177307
Recreation workers,10.55210174494017
Recreational therapists,10.556702828874348
Refuse and recyclable material collectors,10.393163149082515
Registered nurses,11.173231219495362
Rehabilitation counselors,10.943005213542726
"Religious workers, all other",10.470849489270314
Reservation and transportation ticket agents and travel clerks,10.590134926360241
Residential advisors,10.340675948163458
Respiratory therapists,11.127491346073702
Retail salespersons,10.643763795989607
Riggers,10.734910835817267
Roofers,10.376810565433123
"Sailors and marine oilers, and ship engineers",10.78941441758758
"Sales and related workers, all other",10.995899944290873
Sales engineers,11.634754444673804
Sales managers,11.55648294582418
"Sales representatives of services, except advertising, insurance, financial services, and travel",11.151435913924535
"Sales representatives, wholesale and manufacturing",10.989163189010497
"Sawing machine setters, operators, and tenders, wood",10.29909666890131
School bus monitors,10.128921337403058
School psychologists,11.23577162838808
Secondary school teachers,10.930259112579652
"Secretaries and administrative assistants, except legal, medical, and executive",10.600288620340338
"Securities, commodities, and financial services sales agents",11.445605082050168
Security and fire alarm systems installers,10.71179123188808
Security guards and gaming surveillance officers,10.42948557420298
Sewing machine operators,10.187126379031291
Sheet metal workers,10.608070030870776
Ship and boat captains and operators,10.932242349827428
"Shipping, receiving, and inventory clerks",10.395952221074095
Shoe and leather workers,10.394860801182087
Shuttle drivers and chauffeurs,10.45772645563782
Skincare specialists,10.386098576234133
Small engine mechanics,10.573082176995069
Social and community service managers,11.032555608089336
Social and human service assistants,10.56999751656495
"Social workers, all other",10.856342576268581
Software developers,11.739060487146107
Software quality assurance analysts and testers,11.349853574993817
Solar photovoltaic installers,10.75660620315357
Special education teachers,10.782090562615238
Speech-language pathologists,10.991391822653032
Stationary engineers and boiler operators,11.015705070436416
Statistical assistants,10.945888999184586
Stockers and order fillers,10.408900480128334
Structural iron and steel workers,10.753682900059202
Structural metal fabricators and fitters,10.598307836979993
Substance abuse and behavioral disorder counselors,10.718946585377749
Supervisors of personal care and service workers,10.701052956399666
Supervisors of transportation and material moving workers,10.798815610089868
Surface mining machine operators and earth drillers,10.780648602511327
Surgeons,12.054368861329872
Surgical technologists,10.89216308173149
Surveying and mapping technicians,10.894158067518434
"Surveyors, cartographers, and photogrammetrists",11.055286014616595
"Switchboard operators, including answering service",10.493016195653253
"Tailors, dressmakers, and sewers",10.283741349305636
"Tax examiners and collectors, and revenue agents",11.011553505489264
Tax preparers,10.90844984813862
Taxi drivers,10.43826132706097
Teaching assistants,10.256857470769598
Technical writers,11.23126232570972
Telecommunications line installers and repairers,10.823270885487771
Telemarketers,10.256947061801778
Telephone operators,10.478686335344207
"Television, video, and film camera operators and editors",11.03566261610513
Tellers,10.403855888979479
"Textile machine setters, operators, and tenders",10.257043199366576
Tire builders,10.657124220883661
